PRODUCT-OF	chem_names	71	chem_ids	67	gene_names	96	gene_ids	83	
AGONIST-ACTIVATOR	chem_names	8	chem_ids	8	gene_names	8	gene_ids	6	
1	ANTAGONIST	chem_names	0	chem_ids	0	gene_names	1	gene_ids	3
1	DIRECT-REGULATOR	chem_names	1	chem_ids	2	gene_names	0	gene_ids	4
1	ACTIVATOR	chem_names	2	chem_ids	3	gene_names	4	gene_ids	5
2	INHIBITOR	chem_names	1	chem_ids	1	gene_names	0	gene_ids	3

SUBSTRATE_PRODUCT-OF	chem_names	2	chem_ids	2	gene_names	3	gene_ids	3	
2	SUBSTRATE	chem_names	1	chem_ids	1	gene_names	0	gene_ids	0

AGONIST-INHIBITOR	chem_names	2	chem_ids	2	gene_names	2	gene_ids	2	
1	DIRECT-REGULATOR	chem_names	0	chem_ids	1	gene_names	0	gene_ids	2

